Year,Seattle,King County ,Washington State,United States
01/31/2005 12:00:00 AM,4.2%,4.9%,6.4%,5.7%
02/28/2005 12:00:00 AM,4.6%,5.3%,6.6%,5.8%
03/31/2005 12:00:00 AM,4.5%,4.9%,6%,5.4%
04/30/2005 12:00:00 AM,3.8%,4.3%,5.5%,4.9%
05/31/2005 12:00:00 AM,4.3%,4.8%,5.4%,4.9%
06/30/2005 12:00:00 AM,4.7%,4.9%,5.5%,5.2%
07/31/2005 12:00:00 AM,4.6%,4.5%,5.2%,5.2%
08/31/2005 12:00:00 AM,4.2%,4.4%,5.2%,4.9%
09/30/2005 12:00:00 AM,4.4%,4.8%,5.1%,4.8%
10/31/2005 12:00:00 AM,4.1%,4.6%,4.9%,4.6%
11/30/2005 12:00:00 AM,4.2%,4.7%,5.4%,4.8%
12/31/2005 12:00:00 AM,3.5%,4.3%,5.1%,4.6%
01/31/2006 12:00:00 AM,3.4%,4.3%,5.5%,5.1%
02/28/2006 12:00:00 AM,3.7%,4.5%,5.7%,5.1%
03/31/2006 12:00:00 AM,3.6%,4.2%,5.2%,4.8%
04/30/2006 12:00:00 AM,3.1%,3.8%,4.8%,4.5%
05/31/2006 12:00:00 AM,3.7%,4.2%,4.9%,4.4%
06/30/2006 12:00:00 AM,4%,4.3%,4.9%,4.8%
07/31/2006 12:00:00 AM,4%,4.2%,4.9%,5%
08/31/2006 12:00:00 AM,3.7%,4%,4.9%,4.6%
09/30/2006 12:00:00 AM,3.8%,4.2%,4.6%,4.4%
10/31/2006 12:00:00 AM,3.5%,4%,4.3%,4.1%
11/30/2006 12:00:00 AM,3.7%,4.3%,4.9%,4.3%
12/31/2006 12:00:00 AM,3.2%,4%,4.8%,4.3%
01/31/2007 12:00:00 AM,3.4%,4.2%,5.5%,5%
02/28/2007 12:00:00 AM,3.5%,4.1%,5.3%,4.9%
03/31/2007 12:00:00 AM,3.3%,3.7%,4.8%,4.5%
04/30/2007 12:00:00 AM,2.4%,3.3%,4.2%,4.3%
05/31/2007 12:00:00 AM,2.9%,3.5%,4.2%,4.3%
06/30/2007 12:00:00 AM,3.4%,3.7%,4.4%,4.7%
07/31/2007 12:00:00 AM,3.3%,3.6%,4.5%,4.9%
08/31/2007 12:00:00 AM,3%,3.4%,4.3%,4.6%
09/30/2007 12:00:00 AM,3.2%,3.6%,4.2%,4.5%
10/31/2007 12:00:00 AM,3%,3.5%,4.1%,4.4%
11/30/2007 12:00:00 AM,2.9%,3.5%,4.5%,4.5%
12/31/2007 12:00:00 AM,2.7%,3.5%,4.7%,4.8%
01/31/2008 12:00:00 AM,2.8%,3.7%,5.2%,5.4%
02/29/2008 12:00:00 AM,2.9%,3.8%,5.3%,5.2%
03/31/2008 12:00:00 AM,3%,3.7%,5.2%,5.2%
04/30/2008 12:00:00 AM,2.5%,3.3%,4.5%,4.8%
05/31/2008 12:00:00 AM,3.2%,3.9%,5%,5.2%
06/30/2008 12:00:00 AM,3.9%,4.4%,5.2%,5.7%
07/31/2008 12:00:00 AM,4%,4.5%,5.2%,6%
08/31/2008 12:00:00 AM,4%,4.5%,5.5%,6.1%
09/30/2008 12:00:00 AM,4%,4.7%,5.1%,6%
10/31/2008 12:00:00 AM,4.2%,5.1%,5.5%,6.1%
11/30/2008 12:00:00 AM,4.5%,5.5%,6.2%,6.5%
12/31/2008 12:00:00 AM,4.5%,5.9%,7%,7.1%
01/31/2009 12:00:00 AM,5.4%,6.9%,8.4%,8.5%
02/28/2009 12:00:00 AM,6.1%,7.8%,9.2%,8.9%
03/31/2009 12:00:00 AM,6.4%,8.1%,9.5%,9%
04/30/2009 12:00:00 AM,6.2%,7.6%,8.9%,8.6%
05/31/2009 12:00:00 AM,7.1%,8.3%,9.3%,9.1%
06/30/2009 12:00:00 AM,8.1%,9.3%,9.6%,9.7%
07/31/2009 12:00:00 AM,8.2%,9.2%,9.3%,9.7%
08/31/2009 12:00:00 AM,8.4%,9%,9.5%,9.6%
09/30/2009 12:00:00 AM,8.7%,9.2%,9.3%,9.5%
10/31/2009 12:00:00 AM,8.5%,9.3%,9.3%,9.5%
11/30/2009 12:00:00 AM,8.3%,9%,9.6%,9.4%
12/31/2009 12:00:00 AM,8.2%,9.1%,10.3%,9.7%
01/31/2010 12:00:00 AM,8.5%,9.6%,11.3%,10.6%
02/28/2010 12:00:00 AM,8.4%,9.5%,11.2%,10.4%
03/31/2010 12:00:00 AM,8.3%,9.2%,10.9%,10.2%
04/30/2010 12:00:00 AM,7.6%,8.5%,10%,9.5%
05/31/2010 12:00:00 AM,7.7%,8.6%,9.9%,9.3%
06/30/2010 12:00:00 AM,8.2%,9.3%,9.8%,9.6%
07/31/2010 12:00:00 AM,8.1%,9.2%,9.5%,9.7%
08/31/2010 12:00:00 AM,8%,9.1%,9.6%,9.5%
09/30/2010 12:00:00 AM,8.1%,9.2%,9.3%,9.2%
10/31/2010 12:00:00 AM,7.9%,9.1%,9.1%,9%
11/30/2010 12:00:00 AM,8.2%,9.4%,9.8%,9.3%
12/31/2010 12:00:00 AM,7.6%,8.6%,9.6%,9.1%
01/31/2011 12:00:00 AM,7.8%,8.9%,10.4%,9.8%
02/28/2011 12:00:00 AM,7.8%,8.8%,10.3%,9.5%
03/31/2011 12:00:00 AM,7.5%,8.3%,9.9%,9.2%
04/30/2011 12:00:00 AM,6.9%,7.7%,9.2%,8.7%
05/31/2011 12:00:00 AM,7%,7.9%,9.2%,8.7%
06/30/2011 12:00:00 AM,7.6%,8.7%,9.3%,9.3%
07/31/2011 12:00:00 AM,7.3%,8.4%,9%,9.3%
08/31/2011 12:00:00 AM,7.1%,8.1%,9%,9.1%
09/30/2011 12:00:00 AM,6.9%,8%,8.6%,8.8%
10/31/2011 12:00:00 AM,6.7%,8%,8.5%,8.5%
11/30/2011 12:00:00 AM,6.6%,7.6%,8.6%,8.2%
12/31/2011 12:00:00 AM,6.3%,7.2%,8.7%,8.3%
01/31/2012 12:00:00 AM,6.6%,7.5%,9.3%,8.8%
02/29/2012 12:00:00 AM,6.5%,7.4%,9.4%,8.7%
03/31/2012 12:00:00 AM,6.2%,6.9%,8.9%,8.4%
04/30/2012 12:00:00 AM,5.5%,6.2%,8.1%,7.7%
05/31/2012 12:00:00 AM,5.7%,6.6%,8.2%,7.9%
06/30/2012 12:00:00 AM,6.3%,7.1%,8.2%,8.4%
07/31/2012 12:00:00 AM,6.1%,7.2%,8.1%,8.6%
08/31/2012 12:00:00 AM,5.7%,6.7%,7.9%,8.2%
09/30/2012 12:00:00 AM,5.3%,6.2%,7.3%,7.6%
10/31/2012 12:00:00 AM,5.2%,6.1%,7.2%,7.5%
11/30/2012 12:00:00 AM,5%,5.8%,7.3%,7.4%
12/31/2012 12:00:00 AM,4.7%,5.6%,7.5%,7.6%
01/31/2013 12:00:00 AM,4.9%,5.9%,8.3%,8.5%
02/28/2013 12:00:00 AM,4.7%,5.5%,8.1%,8.1%
03/31/2013 12:00:00 AM,4.4%,5.1%,7.5%,7.6%
04/30/2013 12:00:00 AM,3.9%,4.7%,6.8%,7.1%
05/31/2013 12:00:00 AM,4%,4.9%,6.9%,7.3%
06/30/2013 12:00:00 AM,4.7%,5.5%,7%,7.8%
07/31/2013 12:00:00 AM,4.6%,5.4%,6.8%,7.7%
08/31/2013 12:00:00 AM,4.6%,5.4%,6.8%,7.3%
09/30/2013 12:00:00 AM,4.4%,5.2%,6.4%,7%
10/31/2013 12:00:00 AM,4.5%,5.4%,6.5%,7%
11/30/2013 12:00:00 AM,4.4%,5%,6.6%,6.6%
12/31/2013 12:00:00 AM,4.1%,4.7%,6.6%,6.5%
01/31/2014 12:00:00 AM,4.2%,4.8%,7%,7%
02/28/2014 12:00:00 AM,4.4%,5%,7.2%,7%
03/31/2014 12:00:00 AM,4.3%,4.9%,6.8%,6.8%
04/30/2014 12:00:00 AM,3.7%,4.1%,5.8%,5.9%
05/31/2014 12:00:00 AM,3.9%,4.4%,6%,6.1%
06/30/2014 12:00:00 AM,4.4%,4.9%,5.9%,6.3%
07/31/2014 12:00:00 AM,4.4%,4.9%,6%,6.5%
08/31/2014 12:00:00 AM,4.3%,4.7%,6.1%,6.3%
09/30/2014 12:00:00 AM,4.2%,4.5%,5.8%,5.7%
10/31/2014 12:00:00 AM,4%,4.4%,5.8%,5.5%
11/30/2014 12:00:00 AM,4.1%,4.5%,6.2%,5.5%
12/31/2014 12:00:00 AM,3.8%,4.2%,6.3%,5.4%
01/31/2015 12:00:00 AM,4.3%,4.8%,7%,6.1%
02/28/2015 12:00:00 AM,4.3%,4.8%,6.8%,5.8%
03/31/2015 12:00:00 AM,3.7%,4.1%,5.7%,5.6%
